0mM,0mM,0mM,0mM,0mM,0mM,50Mm,50Mm,50Mm,50Mm,50Mm,50Mm,100mM,100mM,100mM,100mM,100mM,100mM,150mM,150mM,150mM,150mM,150mM,150mM,200mM,200mM,200mM,200mM,200mM,200mM,250mM,250mM,250mM,250mM,250mM,250mM,300mM,300mM,300mM,300mM,300mM,300mM,350mM,350mM,350mM,350mM,350mM,350mM,400mM,400mM,400mM,400mM,400mM,400mM
29.31,18.32,46.41,23.21,26.25,14.041,3.67,1.84,25.64,-12.83,-21.37,19.54,19.54,39.08,39.08,40.31,32.98,27.48,32.37,41.53,13.431,14.04,12.21,12.21,0,19.55,7.93,26.26,25.65,25.03,39.69,30.53,-2.44,21.38,7.94,20.15,23.21,33.59,35.42,23.21,23.21,-6.1,14.66,11.6,-4.88,54.96,10.38,12.82,15.27,-17.71,-6.1,12.21,13.431,14.04
29.92,17.71,46.41,23.21,26.86,14.041,3.06,2.45,25.64,-13.44,-21.37,18.93,19.54,39.69,38.47,40.31,32.36,27.48,32.98,40.92,14.041,14.04,11.6,11.6,-0.61,18.32,7.93,26.26,25.65,24.42,39.69,30.53,-2.44,20.76,7.94,20.15,22.6,34.2,34.81,22.6,22.6,-6.72,14.66,10.99,-5.49,54.96,10.38,10.382,14.65,-17.1,-6.72,11.6,14.041,14.04
29.92,17.1,45.19,23.21,26.86,14.041,3.67,3.06,25.64,-14.05,-21.98,19.54,19.54,38.47,38.47,41.53,32.36,28.09,33.59,40.31,13.431,14.04,12.82,12.82,-1.84,17.71,7.93,26.26,25.04,24.42,39.08,30.53,-3.05,20.15,7.94,20.15,22.6,33.59,34.81,22.6,22.6,-5.49,14.66,9.772,-4.88,54.96,9.77,7.939,15.27,-17.1,-5.49,12.82,13.431,14.04
31.14,16.49,45.19,23.21,26.86,14.651,4.28,2.45,25.64,-14.05,-21.37,18.93,18.93,38.47,37.86,40.92,32.36,27.48,34.2,39.09,14.041,14.66,12.82,12.82,-2.45,16.49,7.93,26.26,24.43,23.81,38.47,29.92,-3.05,20.15,7.33,19.54,21.98,32.98,34.19,21.98,21.98,-5.49,15.27,9.161,-5.49,54.35,9.16,6.718,14.65,-16.49,-5.49,12.82,14.041,14.66
31.75,15.88,44.58,23.21,25.64,14.651,4.28,2.45,25.03,-14.66,-21.98,18.93,18.93,37.86,37.25,40.92,31.75,26.26,34.81,38.47,14.041,14.66,12.82,12.82,-3.67,16.49,7.93,25.65,24.43,23.2,38.47,29.92,-3.05,18.93,6.72,18.93,21.98,32.37,33.58,21.98,21.98,-5.49,14.66,8.551,-4.88,54.96,8.55,4.28,14.65,-16.49,-5.49,12.82,14.041,14.66
32.36,15.27,43.36,22.6,25.64,15.271,4.28,2.45,25.03,-14.05,-21.98,19.54,18.32,37.86,37.25,41.53,31.75,26.87,35.42,37.86,14.041,14.66,12.82,12.82,-3.67,15.27,8.54,25.65,24.43,23.81,37.86,29.92,-3.66,18.32,6.11,17.71,21.98,31.76,32.97,21.98,21.98,-4.88,15.27,7.329,-4.88,53.74,7.94,2.44,14.65,-15.88,-4.88,12.82,14.041,14.66
32.36,14.66,43.36,22.6,25.64,15.271,5.5,3.06,25.64,-14.66,-21.98,19.54,18.32,36.63,36.03,40.31,31.75,26.26,34.81,37.25,14.041,14.66,12.82,12.82,-4.89,14.05,8.54,25.04,23.82,23.2,37.25,28.7,-3.05,18.32,6.72,17.71,20.76,31.76,32.97,20.76,20.76,-4.27,15.88,6.719,-4.88,53.74,7.94,1.22,14.65,-15.88,-4.27,12.82,14.041,14.66
32.36,13.44,42.14,21.99,26.25,15.271,5.5,3.06,25.03,-14.66,-21.98,19.54,17.7,35.41,34.81,39.7,30.53,25.04,35.42,36.64,14.651,14.66,12.82,12.82,-5.5,13.44,7.93,25.04,24.43,23.2,36.64,28.7,-3.66,17.71,6.11,17.1,20.76,31.15,31.75,20.76,20.76,-4.27,15.88,5.5,-4.88,53.13,7.33,-0.61,14.65,-15.27,-4.27,12.82,14.651,14.66
32.97,13.44,41.53,21.37,25.64,14.651,6.11,3.67,25.64,-15.27,-21.98,19.54,17.09,35.41,34.2,39.7,29.92,25.04,35.42,36.03,14.651,14.66,13.43,13.43,-6.11,12.22,8.54,25.04,23.82,23.81,36.02,28.09,-3.66,16.49,5.5,16.49,20.15,30.54,31.75,20.15,20.15,-4.27,16.49,4.89,-4.88,53.13,6.72,-2.44,14.04,-15.27,-4.27,13.43,14.651,14.66
32.97,12.83,40.31,21.37,25.64,15.271,6.11,3.06,25.03,-15.27,-21.98,19.54,16.48,34.8,33.59,39.7,29.92,24.43,35.42,35.42,15.271,14.66,13.43,13.43,-6.11,11,7.93,25.04,23.2,23.81,35.41,27.48,-3.66,15.88,5.5,15.88,20.15,30.54,30.53,20.15,20.15,-3.66,16.49,4.28,-4.27,52.52,6.11,-3.66,14.04,-14.66,-3.66,13.43,15.271,14.66
33.58,12.22,40.31,21.37,25.03,15.881,6.72,3.67,25.03,-15.27,-22.59,20.15,15.87,33.58,32.98,38.47,29.31,23.21,35.42,35.42,15.271,14.66,14.04,14.04,-7.33,11,8.54,25.04,23.82,23.81,34.19,27.48,-4.27,14.66,4.88,15.27,19.54,29.93,29.92,19.54,19.54,-3.05,17.1,4.89,-4.27,52.52,5.5,-5.49,14.04,-14.66,-3.05,14.04,15.271,14.66
33.58,11.61,39.09,20.76,25.03,15.881,6.72,3.06,25.03,-15.27,-22.59,20.15,15.26,33.58,31.76,38.47,29.31,22.6,35.42,34.2,15.271,15.27,14.04,14.04,-7.33,10.39,8.54,25.04,23.2,23.81,33.58,26.26,-3.66,14.05,4.27,14.66,19.54,29.93,29.92,19.54,19.54,-3.05,17.71,3.67,-3.66,51.91,4.88,-6.72,13.43,-14.05,-3.05,14.04,15.271,15.27
33.58,10.99,39.09,20.76,25.03,15.881,6.72,3.67,25.03,-15.27,-22.59,20.76,14.65,32.36,30.53,37.86,28.7,21.98,34.81,34.2,14.651,15.27,14.65,14.65,-7.94,9.16,7.93,25.04,23.2,23.81,32.97,25.65,-3.66,14.05,4.27,14.66,18.93,28.7,29.31,18.93,18.93,-2.44,17.1,2.44,-3.05,51.3,4.88,-7.94,13.43,-13.44,-2.44,14.65,14.651,15.27
33.58,10.38,39.09,21.37,25.64,15.881,7.33,4.28,25.03,-15.27,-22.59,21.37,14.65,31.75,29.31,37.25,27.48,20.76,34.81,34.2,15.271,15.27,15.26,15.26,-7.94,8.55,7.93,24.43,23.2,23.81,31.75,24.43,-4.27,13.44,3.66,14.05,18.93,28.7,28.7,18.93,18.93,-2.44,17.1,2.44,-2.44,50.69,3.66,-8.55,13.43,-12.83,-2.44,15.26,15.271,15.27
33.58,9.77,37.86,20.15,25.64,16.491,7.94,4.28,25.03,-15.27,-23.2,21.98,14.04,30.53,28.7,36.03,27.48,20.15,34.81,33.59,15.881,15.88,15.26,15.26,-8.55,7.33,8.54,25.04,22.59,23.81,31.75,24.43,-4.27,12.22,3.66,13.44,18.32,28.09,28.09,18.32,18.32,-1.83,18.32,1.83,-2.44,50.69,3.66,-9.16,13.43,-12.22,-1.83,15.26,15.881,15.88
34.19,9.77,36.64,20.15,25.64,16.491,8.55,4.28,24.42,-15.27,-22.59,21.98,13.43,30.53,28.09,35.42,26.26,18.93,34.2,32.98,15.881,15.88,15.87,15.87,-9.16,7.33,7.93,25.04,22.59,23.81,31.14,23.82,-4.27,11.61,3.66,12.83,18.93,27.48,28.09,18.93,18.93,-1.83,18.32,1.83,-1.83,50.08,3.05,-10.99,13.43,-11,-1.83,15.87,15.881,15.88
32.97,9.77,36.64,20.15,26.25,17.101,8.55,4.28,25.03,-15.88,-23.2,22.59,12.82,29.31,26.87,34.81,26.26,18.93,34.81,32.37,15.881,15.88,15.26,15.26,-8.55,6.72,7.93,25.65,22.59,23.81,30.53,23.21,-3.66,11.61,3.05,12.83,18.32,28.09,28.09,18.32,18.32,-1.22,18.32,0.61,-1.83,49.47,2.44,-10.99,13.43,-10.38,-1.22,15.26,15.881,15.88
32.97,9.77,36.03,20.15,25.64,17.101,9.16,4.28,25.03,-15.27,-22.59,23.21,12.21,28.7,25.65,34.2,25.65,18.32,33.59,32.98,15.881,15.88,15.87,15.87,-9.16,6.11,7.93,25.65,22.59,23.81,29.92,22.59,-4.27,10.99,3.66,12.21,18.32,26.87,26.87,18.32,18.32,0,18.93,0,-1.22,48.86,2.44,-12.21,12.82,-9.77,0,15.87,15.881,15.88
33.58,9.16,36.03,20.15,26.86,16.491,9.77,4.28,25.03,-15.27,-23.2,23.21,12.21,28.09,25.04,33.59,25.65,17.1,33.59,32.37,16.491,16.49,16.48,16.48,-9.77,5.5,7.93,25.04,23.2,24.42,29.92,21.37,-4.27,10.99,3.05,12.21,17.71,27.48,27.48,17.71,17.71,0,18.93,0,-1.22,48.86,2.44,-12.21,12.82,-9.16,0,16.48,16.491,16.49
32.97,8.55,36.03,19.54,28.09,17.711,9.77,4.89,25.03,-15.27,-23.82,23.82,12.21,27.47,24.43,32.37,25.65,17.1,34.2,32.37,16.491,15.88,16.48,16.48,-9.77,4.89,7.93,25.65,22.59,25.03,29.31,21.37,-4.27,10.38,2.44,12.21,17.71,26.87,26.87,17.71,17.71,0.61,18.93,-0.61,-0.61,48.24,1.83,-12.21,13.43,-8.55,0.61,16.48,16.491,15.88
32.97,9.16,34.81,20.15,28.09,17.711,10.39,4.89,25.03,-15.27,-23.2,24.43,11.6,26.86,23.21,31.76,24.43,15.88,33.59,32.98,17.101,16.49,17.09,17.09,-9.77,4.89,7.32,26.26,23.82,24.42,28.7,20.76,-4.27,9.77,3.05,11.6,17.1,26.87,26.87,17.1,17.1,1.22,20.15,0,0,47.63,1.83,-12.82,12.82,-7.33,1.22,17.09,17.101,16.49
32.97,9.16,35.42,20.15,27.47,18.321,9.77,4.89,24.42,-14.66,-23.2,24.43,10.99,26.25,21.98,31.15,24.43,15.27,32.98,31.76,17.101,17.1,17.09,17.09,-9.77,4.28,7.32,26.26,23.82,25.03,28.7,20.76,-4.27,9.77,3.05,11.6,16.49,26.26,26.26,16.49,16.49,1.22,19.54,-0.61,0,47.63,1.22,-12.82,13.43,-6.72,1.22,17.09,17.101,17.1
32.36,9.16,35.42,19.54,26.86,17.711,10.39,4.89,25.03,-15.27,-23.82,25.04,10.99,25.64,20.76,30.54,24.43,14.66,32.37,32.37,16.491,17.1,17.09,17.09,-9.77,4.28,7.32,26.26,23.82,25.03,28.09,20.15,-4.88,9.77,2.44,10.99,17.1,26.87,26.26,17.1,17.1,1.83,19.54,-0.61,0.61,47.02,1.22,-13.43,12.82,-6.11,1.83,17.09,16.491,17.1
32.36,9.77,34.2,20.15,27.47,17.711,11,5.5,24.42,-14.66,-23.82,25.65,10.38,25.03,20.15,29.92,23.2,14.66,32.98,32.37,17.711,17.1,18.32,18.32,-9.77,2.45,7.93,26.26,23.82,25.03,28.09,19.54,-4.27,9.16,1.83,11.6,17.1,26.26,26.26,17.1,17.1,3.06,20.76,-0.61,0,46.41,1.22,-12.21,13.43,-5.5,3.06,18.32,17.711,17.1
32.36,9.16,34.2,20.15,26.86,18.931,11.61,5.5,25.03,-14.66,-23.82,26.26,10.38,24.42,18.93,28.7,23.2,14.05,32.98,31.76,17.711,17.1,17.7,17.7,-10.39,3.06,7.93,26.26,24.43,25.64,28.09,18.93,-4.27,9.77,2.44,11.6,16.49,26.87,26.26,16.49,16.49,3.67,20.15,-0.61,1.22,45.8,1.22,-12.82,13.43,-4.89,3.67,17.7,17.711,17.1
32.36,9.77,33.59,19.54,26.86,18.931,11,5.5,24.42,-14.05,-23.2,26.87,10.38,23.81,18.32,28.7,23.2,13.44,32.37,32.37,18.321,17.1,18.32,18.32,-9.77,3.06,7.32,27.48,23.82,25.64,28.09,18.32,-3.66,9.16,2.44,10.99,17.1,26.26,26.26,17.1,17.1,3.67,20.76,0,1.83,45.8,1.22,-11.6,13.43,-4.89,3.67,18.32,18.321,17.1
32.36,9.77,33.59,18.93,26.86,18.931,11.61,5.5,24.42,-14.05,-23.82,27.48,9.77,23.81,18.32,28.09,22.59,12.83,32.37,32.37,17.711,17.71,18.93,18.93,-9.77,2.45,7.93,27.48,24.43,26.25,28.09,18.32,-4.27,9.16,2.44,10.99,16.49,26.26,25.65,16.49,16.49,5.5,20.76,0.61,1.83,45.19,0.61,-11.6,13.43,-3.67,5.5,18.93,17.711,17.71
32.36,10.38,32.98,19.54,26.86,18.931,11.61,5.5,25.03,-14.05,-24.43,27.48,10.38,23.2,16.49,27.48,21.98,12.83,31.76,32.37,17.711,18.32,18.93,18.93,-9.77,2.45,7.32,27.48,25.04,26.25,26.86,17.71,-4.27,9.16,2.44,10.99,16.49,25.65,25.65,16.49,16.49,6.72,20.76,0.61,1.83,45.19,0.61,-10.99,13.43,-2.45,6.72,18.93,17.711,18.32
32.36,9.77,32.98,18.93,26.86,19.541,12.22,6.11,25.03,-14.05,-23.82,28.09,9.77,22.59,15.88,27.48,21.98,12.83,31.15,32.37,18.931,17.71,19.54,19.54,-9.77,2.45,7.32,27.48,25.04,26.86,28.09,17.71,-4.27,9.16,2.44,10.99,16.49,25.65,25.65,16.49,16.49,6.72,21.37,0.61,1.83,44.58,1.22,-10.38,13.43,-2.45,6.72,19.54,18.931,17.71
32.36,10.99,32.98,18.93,26.86,19.541,12.83,6.11,25.64,-14.05,-23.82,28.09,9.77,21.98,15.27,26.87,21.98,12.21,31.76,32.98,18.931,18.32,19.54,19.54,-10.39,1.84,7.93,28.09,25.65,26.86,27.48,17.71,-4.27,9.16,2.44,10.99,15.88,25.65,25.65,15.88,15.88,7.33,21.37,1.22,1.83,44.58,1.22,-9.77,14.04,-1.22,7.33,19.54,18.931,18.32
32.36,10.99,32.98,18.32,26.86,19.541,12.83,6.11,25.03,-13.44,-23.82,28.7,9.77,21.98,14.66,26.26,21.37,12.21,31.15,32.98,18.931,18.93,20.15,20.15,-9.77,1.84,7.32,28.09,25.65,27.47,27.48,17.71,-4.27,9.77,3.05,10.99,15.88,25.04,25.65,15.88,15.88,7.94,21.99,0.61,1.83,43.97,1.22,-9.16,12.82,-1.22,7.94,20.15,18.931,18.93
32.36,11.61,32.98,18.32,26.86,19.541,12.83,5.5,25.03,-14.05,-24.43,29.31,9.77,21.37,14.05,25.65,20.76,11.6,31.15,32.98,18.931,18.32,20.15,20.15,-9.77,2.45,7.32,28.7,25.65,26.86,27.48,17.1,-4.27,9.77,2.44,10.99,16.49,25.65,25.03,16.49,16.49,9.16,21.99,1.22,1.83,43.97,1.83,-8.55,13.43,-0.61,9.16,20.15,18.931,18.32
31.75,11.61,32.98,18.32,26.25,20.761,13.44,6.11,25.03,-14.05,-24.43,29.31,9.16,21.37,12.82,25.04,20.76,11.6,31.15,33.59,19.541,18.93,20.15,20.15,-10.39,1.23,7.32,28.09,25.65,27.47,28.09,17.1,-4.27,9.16,2.44,10.99,16.49,25.65,25.03,16.49,16.49,9.77,21.99,1.83,2.44,43.97,1.83,-7.33,13.43,-0.61,9.77,20.15,19.541,18.93
32.36,12.22,33.59,18.93,26.86,20.151,13.44,5.5,25.03,-13.44,-24.43,29.92,9.77,21.37,12.82,24.43,20.15,10.99,31.15,33.59,19.541,18.93,20.76,20.76,-9.77,1.84,7.32,28.7,25.65,28.08,28.09,16.49,-3.66,9.77,3.05,10.99,15.88,25.65,25.03,15.88,15.88,10.99,22.6,2.44,2.44,43.36,1.83,-6.72,12.82,0.61,10.99,20.76,19.541,18.93
31.75,12.22,33.59,18.93,27.47,20.151,13.44,6.11,25.64,-13.44,-23.82,29.92,10.38,20.76,12.82,24.43,20.76,10.99,31.15,33.59,19.541,19.54,21.37,21.37,-9.77,1.84,7.32,29.31,25.65,28.7,27.48,17.1,-4.27,9.77,3.05,11.6,15.88,25.65,24.42,15.88,15.88,12.21,22.6,1.83,2.44,43.36,1.83,-6.11,14.04,0,12.21,21.37,19.541,19.54
32.36,12.22,32.98,18.93,27.47,20.761,14.05,6.72,25.03,-12.83,-24.43,30.53,10.38,20.76,12.21,24.43,20.15,10.99,31.15,34.2,19.541,19.54,21.37,21.37,-9.77,1.84,6.71,29.92,26.26,28.08,28.09,16.49,-4.27,9.77,2.44,11.6,15.88,25.04,25.03,15.88,15.88,12.83,22.6,3.67,3.06,42.75,2.44,-5.49,13.43,1.22,12.83,21.37,19.541,19.54
31.75,12.83,33.59,18.32,27.47,20.761,14.66,6.72,25.64,-13.44,-24.43,31.14,9.77,20.15,11.6,24.43,20.15,11.6,31.15,34.2,20.761,19.54,21.98,21.98,-9.16,1.84,7.32,29.92,27.48,28.7,28.09,17.1,-3.66,10.99,3.05,11.6,16.49,25.04,25.03,16.49,16.49,12.83,22.6,3.05,2.44,42.75,3.05,-4.88,13.43,1.83,12.83,21.98,20.761,19.54
31.75,13.44,33.59,18.93,27.47,21.371,14.66,6.72,25.64,-13.44,-24.43,30.53,10.38,20.15,10.99,23.82,20.15,10.99,31.15,34.2,20.151,19.54,21.98,21.98,-9.16,1.84,7.32,29.92,27.48,28.7,28.7,16.49,-4.27,10.99,3.05,11.6,15.88,25.04,25.03,15.88,15.88,14.05,23.21,4.28,3.06,43.36,3.05,-3.66,13.43,1.83,14.05,21.98,20.151,19.54
32.36,14.05,34.2,18.93,27.47,20.761,14.05,6.72,25.03,-12.83,-25.04,31.14,9.77,20.76,10.38,22.6,19.54,10.99,30.54,34.2,20.151,19.54,21.98,21.98,-9.16,2.45,7.32,30.53,27.48,29.31,27.48,15.88,-3.66,11.61,3.05,12.21,15.27,25.04,25.03,15.27,15.27,14.66,23.21,4.89,3.06,42.75,3.05,-2.44,13.43,2.44,14.66,21.98,20.151,19.54
32.36,14.66,34.81,18.93,27.47,21.371,14.66,6.72,25.64,-12.83,-23.82,31.75,9.77,20.15,10.38,23.82,19.54,11.6,29.93,34.81,20.761,20.15,22.59,22.59,-9.16,2.45,7.32,29.92,28.09,29.31,28.09,15.88,-3.66,10.99,3.05,12.21,14.66,25.04,24.42,14.66,14.66,15.88,23.21,5.5,3.06,42.75,3.66,-1.83,13.43,3.05,15.88,22.59,20.761,20.15
31.75,15.27,34.81,18.93,27.47,21.371,15.27,6.72,25.64,-12.83,-24.43,32.98,10.38,19.54,10.38,23.21,19.54,10.99,29.93,35.42,20.761,20.15,22.59,22.59,-8.55,2.45,7.32,30.53,28.09,29.92,28.7,16.49,-3.66,11.61,3.66,11.6,15.27,25.04,25.03,15.27,15.27,15.88,23.21,6.108,3.06,42.75,3.66,-0.61,14.04,3.05,15.88,22.59,20.761,20.15
32.36,15.88,34.81,19.54,27.47,20.761,15.27,6.72,25.64,-12.83,-24.43,32.36,10.38,20.15,9.77,23.21,19.54,11.6,29.93,34.81,21.371,20.15,22.59,22.59,-8.55,1.84,7.32,31.14,27.48,29.92,28.7,17.1,-3.66,12.22,3.05,12.21,14.66,25.04,25.65,14.66,14.66,16.49,23.21,6.719,3.06,42.75,4.27,0,14.04,3.66,16.49,22.59,21.371,20.15
32.36,15.88,35.42,19.54,27.47,21.981,15.27,6.72,25.64,-12.83,-23.82,32.36,10.38,20.15,9.16,22.6,18.93,10.99,29.93,35.42,20.761,20.76,22.59,22.59,-8.55,2.45,7.32,31.14,28.09,29.92,29.31,17.1,-3.66,12.22,3.05,11.6,14.66,24.43,25.65,14.66,14.66,17.71,23.21,7.329,3.67,42.75,4.88,0.61,14.04,3.66,17.71,22.59,20.761,20.76
32.36,16.49,35.42,19.54,28.09,21.981,15.27,6.72,25.64,-12.83,-24.43,33.59,10.99,19.54,9.77,22.6,18.93,11.6,29.93,36.03,21.371,20.76,23.2,23.2,-7.94,2.45,7.32,31.14,28.09,30.53,29.31,17.1,-3.66,12.83,3.66,12.21,14.66,24.43,25.65,14.66,14.66,18.32,23.82,7.329,4.28,42.14,4.88,1.83,14.04,3.66,18.32,23.2,21.371,20.76
32.36,16.49,35.42,20.15,27.47,21.981,15.27,6.72,25.64,-12.83,-24.43,33.59,11.6,19.54,8.55,22.6,18.93,11.6,30.54,36.03,21.371,20.76,23.2,23.2,-7.94,2.45,7.32,32.36,28.7,30.53,28.7,17.1,-4.27,12.22,3.05,12.21,14.66,25.04,25.65,14.66,14.66,18.93,23.82,8.551,4.28,42.14,5.5,2.44,14.04,4.27,18.93,23.2,21.371,20.76
32.36,17.1,35.42,18.93,28.09,21.981,15.88,6.72,25.64,-12.22,-24.43,34.2,10.99,20.15,9.16,21.99,18.32,11.6,29.93,36.03,20.761,20.76,23.81,23.81,-7.94,2.45,6.71,31.75,28.7,30.53,29.92,16.49,-3.66,12.83,3.66,12.21,14.05,24.43,25.03,14.05,14.05,18.93,23.82,9.161,3.67,42.14,4.88,3.66,14.65,4.88,18.93,23.81,20.761,20.76
33.58,17.1,36.03,19.54,28.09,22.591,15.88,6.72,25.64,-12.83,-24.43,34.2,10.99,19.54,8.55,22.6,18.32,12.21,29.93,36.64,21.981,20.76,23.2,23.2,-7.94,3.06,7.32,31.75,29.31,31.14,29.92,17.1,-3.05,14.05,4.27,12.21,14.05,25.04,25.65,14.05,14.05,19.54,23.82,9.161,4.28,41.53,5.5,4.89,14.04,4.88,19.54,23.2,21.981,20.76
32.97,17.71,36.03,19.54,28.09,21.981,15.88,6.72,26.25,-12.83,-24.43,34.81,11.6,19.54,8.55,22.6,18.93,12.21,29.93,36.64,21.981,20.76,23.81,23.81,-7.33,3.06,7.32,32.36,29.31,31.14,29.92,17.1,-4.27,14.05,3.66,12.21,14.05,24.43,25.03,14.05,14.05,20.15,24.43,9.772,4.28,42.14,6.11,4.89,14.04,5.49,20.15,23.81,21.981,20.76
32.97,18.32,36.64,19.54,28.7,21.981,15.88,7.33,26.25,-12.83,-25.04,34.2,11.6,19.54,8.55,22.6,18.32,12.21,29.32,36.64,21.981,20.76,23.81,23.81,-7.94,3.06,6.71,32.97,29.31,31.75,30.53,17.1,-3.66,14.66,4.27,12.83,14.66,23.82,25.03,14.66,14.66,20.76,23.82,10.38,4.89,42.14,6.72,6.718,14.65,4.88,20.76,23.81,21.981,20.76
32.97,18.93,36.03,20.15,28.09,22.591,16.49,7.33,26.25,-11.61,-24.43,34.81,12.21,19.54,9.77,22.6,18.32,12.21,29.32,36.64,21.981,21.37,24.42,24.42,-7.33,3.06,6.71,32.97,29.31,31.14,30.53,17.1,-3.66,15.27,4.27,12.83,14.05,24.43,25.03,14.05,14.05,20.76,24.43,10.99,4.28,42.14,6.72,7.329,14.65,5.49,20.76,24.42,21.981,21.37
32.97,18.93,36.64,19.54,28.7,22.591,17.1,7.33,26.25,-12.22,-24.43,35.42,11.6,20.15,9.16,23.21,18.93,12.83,29.32,36.64,22.591,21.37,24.42,24.42,-7.33,3.06,7.32,32.97,29.92,31.75,30.53,17.71,-3.66,14.66,4.27,12.21,14.66,24.43,25.03,14.66,14.66,21.37,25.04,11.6,4.89,41.53,7.33,7.939,14.65,6.1,21.37,24.42,22.591,21.37
32.97,19.54,37.86,19.54,28.7,22.591,16.49,7.33,25.64,-12.22,-24.43,34.81,12.21,20.15,8.55,22.6,18.32,13.44,29.32,37.25,21.981,21.37,24.42,24.42,-6.72,3.67,6.71,33.59,29.31,31.75,31.14,17.1,-3.05,15.27,4.88,12.83,14.66,24.43,25.03,14.66,14.66,21.37,24.43,11.6,4.89,41.53,6.72,9.771,15.27,6.71,21.37,24.42,21.981,21.37
32.97,19.54,37.86,20.15,28.7,22.591,17.1,6.72,26.25,-12.22,-24.43,35.42,12.21,20.15,8.55,22.6,18.32,13.44,29.32,37.25,21.981,21.37,24.42,24.42,-6.72,3.67,7.32,32.97,29.92,31.75,31.14,17.71,-3.66,15.27,4.88,12.83,14.05,24.43,25.03,14.05,14.05,21.99,25.04,12.83,4.89,41.53,7.33,9.771,14.65,5.49,21.99,24.42,21.981,21.37
33.58,19.54,37.86,20.15,28.7,22.591,17.1,7.33,26.25,-11.61,-24.43,35.42,12.21,20.76,8.55,22.6,18.93,14.05,29.32,37.86,22.591,21.98,25.03,25.03,-6.72,3.67,6.71,33.59,29.92,31.14,31.14,17.71,-3.05,15.88,4.88,13.44,14.05,24.43,25.65,14.05,14.05,21.99,24.43,12.83,4.89,41.53,7.94,10.99,14.65,6.1,21.99,25.03,22.591,21.98
33.58,20.76,39.09,20.15,29.31,22.591,17.1,7.33,26.25,-11.61,-24.43,36.03,12.82,20.15,9.16,23.21,18.93,14.05,29.32,37.86,22.591,21.98,24.42,24.42,-6.11,4.28,6.71,32.97,29.92,32.36,31.14,17.71,-3.05,16.49,4.88,13.44,14.05,23.82,25.03,14.05,14.05,23.21,25.04,12.83,4.89,40.92,7.94,11.6,14.65,6.71,23.21,24.42,22.591,21.98
33.58,20.15,39.09,20.76,29.31,22.591,17.71,7.94,26.87,-11.61,-24.43,36.03,12.82,20.76,9.16,23.21,18.32,14.66,29.32,38.47,22.591,21.98,24.42,24.42,-6.72,4.28,6.71,32.97,30.53,32.36,31.14,17.71,-3.05,15.88,4.88,12.83,14.05,24.43,24.42,14.05,14.05,22.6,25.04,13.44,5.5,41.53,8.55,12.21,15.27,6.71,22.6,24.42,22.591,21.98
32.97,20.76,39.09,20.15,29.31,21.981,17.71,7.33,26.25,-12.22,-24.43,36.03,12.82,20.15,9.16,23.21,18.32,14.66,29.32,38.47,22.591,21.98,25.03,25.03,-6.72,4.89,6.71,33.59,29.92,31.75,31.75,18.32,-3.66,16.49,4.88,13.44,14.05,24.43,25.03,14.05,14.05,23.21,25.04,14.05,5.5,40.92,8.55,12.82,15.27,6.71,23.21,25.03,22.591,21.98
32.97,21.38,39.09,20.15,28.7,22.591,17.71,7.33,26.87,-11.61,-24.43,36.64,13.43,20.76,9.16,22.6,18.32,14.66,28.71,39.09,22.591,21.37,25.64,25.64,-6.11,5.5,6.71,34.2,30.53,32.36,31.75,18.32,-3.05,17.1,5.5,13.44,13.44,24.43,25.03,13.44,13.44,23.82,25.65,14.05,5.5,40.92,8.55,13.44,15.27,6.1,23.82,25.64,22.591,21.37
33.58,21.99,39.7,20.76,29.31,22.591,17.71,7.33,26.87,-11.61,-24.43,36.64,14.04,20.76,9.77,23.82,18.93,15.88,28.71,38.47,22.591,21.98,25.03,25.03,-5.5,5.5,6.71,33.59,30.53,32.36,31.75,18.32,-3.05,17.71,5.5,14.05,13.44,23.82,25.65,13.44,13.44,24.43,25.04,15.27,5.5,41.53,8.55,13.44,15.88,6.71,24.43,25.03,22.591,21.98
34.19,21.38,39.7,20.76,28.7,21.981,17.71,7.33,26.87,-11.61,-23.82,37.25,14.04,21.37,10.38,23.82,18.93,15.88,28.71,39.09,22.591,21.37,25.03,25.03,-5.5,5.5,6.71,34.2,30.53,31.75,32.36,18.93,-3.66,17.1,5.5,13.44,14.05,24.43,25.65,14.05,14.05,23.82,25.04,15.27,5.5,40.92,9.16,14.66,15.27,6.1,23.82,25.03,22.591,21.37
34.19,21.99,39.09,20.15,29.31,23.201,18.32,7.33,26.87,-11.61,-24.43,37.25,14.04,20.76,9.77,23.21,18.93,15.88,28.71,39.09,21.981,21.37,25.64,25.64,-5.5,6.11,6.71,34.2,30.53,32.36,32.36,18.93,-3.05,18.32,5.5,14.05,14.05,24.43,25.65,14.05,14.05,24.43,25.65,15.88,5.5,40.92,8.55,14.66,15.88,7.32,24.43,25.64,21.981,21.37
34.19,21.99,39.7,20.15,29.31,22.591,18.32,7.33,26.87,-10.99,-24.43,37.86,14.04,21.37,9.77,23.82,18.93,16.49,28.71,39.7,22.591,21.98,25.64,25.64,-5.5,6.11,6.71,34.2,30.53,32.36,32.36,18.93,-3.05,18.32,5.5,14.05,13.44,24.43,25.65,13.44,13.44,24.43,25.65,16.49,5.5,40.92,9.77,16.49,15.27,6.71,24.43,25.64,22.591,21.98
